,date,open,high,low,close,volume,y2_hat
21,2017-01-22 12:00 AM,921.98,937.74,886.76,923.76,7166.6654789000795,897.0712725950704
22,2017-01-23 12:00 AM,923.75,927.57,913.21,913.52,3514.741429459997,886.9072596108155
23,2017-01-24 12:00 AM,913.15,923.0,881.48,885.47,9405.04656500016,858.73656028395
24,2017-01-25 12:00 AM,885.47,904.01,884.5,893.43,5291.554742110142,866.683539907695
25,2017-01-26 12:00 AM,893.25,919.49,892.86,914.83,5164.8970199000105,888.3120929225336
26,2017-01-27 12:00 AM,914.95,924.88,908.01,918.02,4830.535162210116,891.4457386185911
27,2017-01-28 12:00 AM,918.02,920.99,913.08,918.6,1175.8635298299992,891.8655866420374
28,2017-01-29 12:00 AM,918.6,919.99,910.45,912.01,1349.0148003299926,885.2582238247604
29,2017-01-30 12:00 AM,913.12,923.0,910.0,919.99,3121.187544429997,893.3083699752946
30,2017-01-31 12:00 AM,919.99,970.0,917.5,963.99,9507.101832240025,937.777180235793
31,2017-02-01 12:00 AM,963.99,986.96,962.0,983.67,6954.3994716300285,958.7531880807566
32,2017-02-02 12:00 AM,983.79,1011.65,973.12,1009.17,8269.680536490036,984.8093521520307
33,2017-02-03 12:00 AM,1009.15,1022.64,987.01,1016.99,10928.024221310125,992.6149182449153
34,2017-02-04 12:00 AM,1015.06,1044.23,1004.0,1033.18,5752.287339689991,1008.7382815656995
35,2017-02-05 12:00 AM,1033.72,1034.6,1004.7,1011.07,4348.170450239997,986.3932169747226
36,2017-02-06 12:00 AM,1010.03,1031.94,1005.1,1023.99,5080.848354720012,999.2585595489206
37,2017-02-07 12:00 AM,1024.0,1056.25,1021.3,1052.48,5372.132625300004,1028.1663201920999
38,2017-02-08 12:00 AM,1052.48,1070.0,1025.0,1050.4,9633.26465194019,1026.4017330470112
39,2017-02-09 12:00 AM,1051.73,1074.69,913.73,986.0,25150.070164029858,961.8100550740875
40,2017-02-10 12:00 AM,985.71,1010.68,950.0,996.08,10731.29006905013,971.3558757500961
41,2017-02-11 12:00 AM,995.49,1020.0,987.62,1012.4,4472.512616749991,987.7338859303488
